BEGIN_YEARMONTH,STATE_FIPS,BEGIN_TIME,TOR_F_SCALE,STATE,CZ_NAME,TOR_LENGTH,TOR_WIDTH
195103,42.0,1500,F1,PENNSYLVANIA,ADAMS,0.1,20.0
195105,42.0,1330,F2,PENNSYLVANIA,SOMERSET,8.0,33.0
195106,42.0,2204,F2,PENNSYLVANIA,ARMSTRONG,19.7,33.0
195107,42.0,1100,F0,PENNSYLVANIA,BRADFORD,0.1,33.0
195104,34.0,1815,F1,NEW JERSEY,MORRIS,0.5,400.0
195102,40.0,1830,F2,OKLAHOMA,CADDO,7.6,20.0
195105,26.0,1335,F2,MICHIGAN,LIVINGSTON,2.3,150.0
195106,26.0,1800,F1,MICHIGAN,EATON,0.5,10.0
195106,26.0,1800,F1,MICHIGAN,MIDLAND,0.0,33.0
195105,40.0,1730,F1,OKLAHOMA,COMANCHE,0.0,33.0
195105,40.0,1915,F1,OKLAHOMA,BECKHAM,0.0,33.0
195105,40.0,1930,F2,OKLAHOMA,DEWEY,2.0,67.0
195105,40.0,2012,F0,OKLAHOMA,BECKHAM,0.0,220.0
195106,40.0,1800,F2,OKLAHOMA,TEXAS,0.0,33.0
195106,40.0,2130,F0,OKLAHOMA,GREER,0.2,33.0
195106,40.0,2350,F2,OKLAHOMA,GRADY,3.8,450.0
195106,40.0,1700,F2,OKLAHOMA,TILLMAN,0.5,100.0
195106,40.0,1815,F1,OKLAHOMA,ROGERS,5.7,33.0
195106,40.0,2255,F2,OKLAHOMA,MUSKOGEE,0.0,33.0
195106,40.0,1830,F3,OKLAHOMA,WASHITA,10.9,173.0
195106,40.0,1914,F1,OKLAHOMA,KAY,0.3,200.0
195106,40.0,1915,F1,OKLAHOMA,TILLMAN,0.0,33.0
195106,40.0,2320,F1,OKLAHOMA,MAJOR,0.0,33.0
195106,40.0,1700,F1,OKLAHOMA,CIMARRON,4.3,33.0
195107,40.0,1620,F0,OKLAHOMA,KINGFISHER,0.0,100.0
195107,40.0,1620,F0,OKLAHOMA,KINGFISHER,0.0,100.0
195107,40.0,1530,F1,OKLAHOMA,ELLIS,0.0,33.0
195108,40.0,1357,F1,OKLAHOMA,LOGAN,5.9,200.0
195108,40.0,1550,F1,OKLAHOMA,WOODS,0.5,440.0
195109,40.0,1620,F2,OKLAHOMA,CRAIG,2.0,67.0
195110,40.0,2030,F1,OKLAHOMA,NOBLE,2.0,880.0
195107,48.0,15,F2,TEXAS,LAMB,1.0,20.0
195108,35.0,1530,F0,NEW MEXICO,UNION,12.2,30.0
195106,35.0,1530,F0,NEW MEXICO,CHAVES,2.0,33.0
195105,48.0,1600,F1,TEXAS,HUTCHINSON,0.5,17.0
195106,48.0,1820,0,TEXAS,POTTER,0.0,33.0
195106,48.0,1850,0,TEXAS,CARSON,0.0,33.0
195106,48.0,2006,F3,TEXAS,CARSON,10.4,100.0
195106,48.0,2040,F0,TEXAS,GRAY,0.0,33.0
195106,48.0,2050,F2,TEXAS,CHILDRESS,3.6,1760.0
195106,48.0,2220,F1,TEXAS,TAYLOR,4.9,20.0
195106,48.0,30,F2,TEXAS,JOHNSON,14.5,20.0
195102,40.0,1835,F2,OKLAHOMA,CANADIAN,36.3,20.0
195102,40.0,2200,F0,OKLAHOMA,CLEVELAND,0.0,100.0
195104,40.0,1320,F2,OKLAHOMA,CLEVELAND,5.7,127.0
195104,40.0,1322,F2,OKLAHOMA,GRADY,0.2,100.0
195104,40.0,1645,F2,OKLAHOMA,WOODS,3.6,33.0
195104,40.0,1730,F0,OKLAHOMA,CUSTER,0.0,33.0
195104,40.0,1803,F1,OKLAHOMA,JACKSON,2.5,33.0
195104,40.0,2100,F1,OKLAHOMA,KAY,0.0,33.0
195104,40.0,1915,F1,OKLAHOMA,BEAVER,0.0,33.0
195104,40.0,1420,F1,OKLAHOMA,MAJOR,0.8,200.0
195104,40.0,2030,F1,OKLAHOMA,STEPHENS,0.0,33.0
195104,40.0,2130,F2,OKLAHOMA,OKLAHOMA,1.5,200.0
195104,40.0,2130,F3,OKLAHOMA,OKLAHOMA,7.4,200.0
195105,40.0,2020,F2,OKLAHOMA,BRYAN,9.4,100.0
195105,40.0,2020,F2,OKLAHOMA,JOHNSTON,5.4,100.0
195105,40.0,1800,F2,OKLAHOMA,TEXAS,0.0,33.0
195105,40.0,1800,F2,OKLAHOMA,TEXAS,0.0,33.0
195105,40.0,1000,F0,OKLAHOMA,BECKHAM,0.0,33.0
195105,40.0,1730,F1,OKLAHOMA,COMANCHE,0.0,33.0
195105,40.0,1730,F1,OKLAHOMA,COMANCHE,0.0,33.0
195104,31.0,900,F1,NEBRASKA,MERRICK,0.3,50.0
195105,31.0,1900,F0,NEBRASKA,CUSTER,0.0,33.0
195105,31.0,1434,F2,NEBRASKA,SCOTTS BLUFF,19.7,33.0
195105,31.0,1820,F1,NEBRASKA,CHASE,2.0,33.0
195106,31.0,1745,F1,NEBRASKA,SIOUX,4.7,110.0
