BEGIN_YEARMONTH,STATE,EVENT_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
201305,OKLAHOMA,Tornado,EF0,2.0,30.0
201306,NORTH CAROLINA,Tornado,EF0,0.09,20.0
201306,LOUISIANA,Tornado,EF0,0.3,60.0
201305,MISSOURI,Tornado,EF1,9.98,550.0
201307,NORTH DAKOTA,Tornado,EF0,4.55,50.0
201307,CONNECTICUT,Tornado,EF1,2.07,200.0
201305,OKLAHOMA,Tornado,EF1,5.9,250.0
201305,OKLAHOMA,Tornado,EF1,1.0,100.0
201306,INDIANA,Tornado,EF1,5.26,100.0
201306,FLORIDA,Tornado,EF0,2.35,50.0
201305,MISSOURI,Tornado,EF1,12.41,200.0
201305,MISSOURI,Tornado,EF1,2.01,50.0
201306,TENNESSEE,Tornado,EF1,0.5,150.0
201307,ILLINOIS,Tornado,EF0,0.8,50.0
201307,KENTUCKY,Tornado,EF0,0.89,50.0
201305,OKLAHOMA,Tornado,EF0,1.61,500.0
201305,OKLAHOMA,Tornado,EF0,0.5,120.0
201306,ILLINOIS,Tornado,EF1,6.21,50.0
201305,OKLAHOMA,Tornado,EF0,0.5,350.0
201306,TEXAS,Tornado,EF0,1.9,50.0
201306,MAINE,Tornado,EF0,0.03,40.0
201305,OKLAHOMA,Tornado,EF0,0.26,100.0
201305,OKLAHOMA,Tornado,EF0,1.64,200.0
201305,OKLAHOMA,Tornado,EF0,0.41,200.0
201307,ILLINOIS,Tornado,EF0,0.67,50.0
201301,TENNESSEE,Tornado,EF0,2.82,100.0
201302,FLORIDA,Tornado,EF0,0.01,20.0
201301,TENNESSEE,Tornado,EF1,4.3,150.0
201301,TENNESSEE,Tornado,EF1,5.75,150.0
201301,TENNESSEE,Tornado,EF0,4.43,100.0
201301,TENNESSEE,Tornado,EF0,5.63,50.0
201310,NEBRASKA,Tornado,EF2,7.57,2394.0
201310,IOWA,Tornado,EF2,14.38,264.0
201301,TENNESSEE,Tornado,EF1,3.68,150.0
201301,TENNESSEE,Tornado,EF0,0.21,50.0
