MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210112,High Plains,5.05,94.95,81.72,50.2,25.62,5.71,1/12/2021,1/18/2021,1
20210112,Midwest,59.34,40.66,10.97,2.19,0.45,0,1/12/2021,1/18/2021,1
20210112,Northeast,78.69,21.31,3.83,0,0,0,1/12/2021,1/18/2021,1
20210112,South,54.63,45.37,26.25,17.03,9.51,3.01,1/12/2021,1/18/2021,1
20210112,Southeast,94,6,0.05,0,0,0,1/12/2021,1/18/2021,1
20210112,West,38.43,61.57,46.65,39.54,28.86,14.84,1/12/2021,1/18/2021,1
20210105,High Plains,4.71,95.29,81.08,50.76,26.14,5.71,1/5/2021,1/11/2021,1
20210105,Midwest,62.86,37.14,11.01,2.19,0.45,0,1/5/2021,1/11/2021,1
20210105,Northeast,79.5,20.5,3.63,0,0,0,1/5/2021,1/11/2021,1
20210105,South,47.16,52.84,31.47,19.84,9.91,4.14,1/5/2021,1/11/2021,1
20210105,Southeast,94.41,5.59,0.04,0,0,0,1/5/2021,1/11/2021,1
20210105,West,42.8,57.2,46.85,39.17,28.43,14.86,1/5/2021,1/11/2021,1
20201229,High Plains,3.82,96.18,82.46,50.36,27.09,5.71,12/29/2020,1/4/2021,1
20201229,Midwest,56.05,43.95,12.36,2.26,0.45,0,12/29/2020,1/4/2021,1
20201229,Northeast,77.6,22.4,3.63,0,0,0,12/29/2020,1/4/2021,1
20201229,South,31.94,68.06,45.97,26.45,15.39,6.58,12/29/2020,1/4/2021,1
20201229,Southeast,87.97,12.03,0.04,0,0,0,12/29/2020,1/4/2021,1
20201229,West,42.58,57.42,47.31,39.61,28.42,14.86,12/29/2020,1/4/2021,1
20201222,High Plains,3.82,96.18,82.12,50.36,27.09,5.71,12/22/2020,12/28/2020,1
20201222,Midwest,58.15,41.85,11.56,2.26,0.45,0,12/22/2020,12/28/2020,1
20201222,Northeast,60.32,39.68,16.88,0,0,0,12/22/2020,12/28/2020,1
20201222,South,35.2,64.8,46.01,26.36,15.1,6.58,12/22/2020,12/28/2020,1
20201222,Southeast,84.2,15.8,0.04,0,0,0,12/22/2020,12/28/2020,1
20201222,West,42.58,57.42,47.08,39.61,28.52,14.86,12/22/2020,12/28/2020,1
20201215,High Plains,3.82,96.18,82.12,50.36,27.09,5.71,12/15/2020,12/21/2020,1
20201215,Midwest,60.49,39.51,11.56,2.26,0.45,0,12/15/2020,12/21/2020,1
20201215,Northeast,60.32,39.68,16.88,0.44,0,0,12/15/2020,12/21/2020,1
20201215,South,34.13,65.87,44.47,25.58,14.03,6.58,12/15/2020,12/21/2020,1
20201215,Southeast,83.01,16.99,0,0,0,0,12/15/2020,12/21/2020,1
20201215,West,41.58,58.42,47.11,39.64,28.53,14.86,12/15/2020,12/21/2020,1
20201208,High Plains,3.14,96.86,82.23,50.76,27.09,5.71,12/8/2020,12/14/2020,1
20201208,Midwest,61.44,38.56,9.41,2.26,0.45,0,12/8/2020,12/14/2020,1
20201208,Northeast,54.23,45.77,14.75,0.44,0,0,12/8/2020,12/14/2020,1
20201208,South,31.17,68.83,45.55,23.86,12.9,6.58,12/8/2020,12/14/2020,1
20201208,Southeast,88.28,11.72,0,0,0,0,12/8/2020,12/14/2020,1
20201208,West,41.46,58.54,47.24,38.88,27.13,14.88,12/8/2020,12/14/2020,1
20201201,High Plains,3.19,96.81,80.71,49.79,26.78,5.53,12/1/2020,12/7/2020,1
20201201,Midwest,63.79,36.21,9.05,2.22,0.45,0,12/1/2020,12/7/2020,1
20201201,Northeast,45.91,54.09,21.07,1.73,0.43,0,12/1/2020,12/7/2020,1
20201201,South,33.23,66.77,45.58,23.04,12.55,6.58,12/1/2020,12/7/2020,1
20201201,Southeast,89.44,10.56,0,0,0,0,12/1/2020,12/7/2020,1
20201201,West,41.96,58.04,45,36.29,27.15,14.88,12/1/2020,12/7/2020,1
20201124,High Plains,4.05,95.95,76.21,49.67,25.74,5.63,11/24/2020,11/30/2020,1
20201124,Midwest,67.58,32.42,9.51,2.22,0.45,0,11/24/2020,11/30/2020,1
20201124,Northeast,43.8,56.2,33.4,4.04,0.75,0,11/24/2020,11/30/2020,1
20201124,South,30.25,69.75,47.91,23.13,11.08,4.82,11/24/2020,11/30/2020,1
20201124,Southeast,86.31,13.69,0,0,0,0,11/24/2020,11/30/2020,1
20201124,West,41.13,58.87,45.06,36.28,26.71,12.87,11/24/2020,11/30/2020,1
20201117,High Plains,3.98,96.02,74.75,47.46,22.58,5.63,11/17/2020,11/23/2020,1
20201117,Midwest,66.42,33.58,9.43,2.22,0.45,0,11/17/2020,11/23/2020,1
20201117,Northeast,40.62,59.38,34.03,4.51,0.75,0,11/17/2020,11/23/2020,1
20201117,South,40.09,59.91,41.18,21.12,10.55,4.6,11/17/2020,11/23/2020,1
20201117,Southeast,95.55,4.45,0,0,0,0,11/17/2020,11/23/2020,1
20201117,West,42.2,57.8,45.28,35.27,24.93,7.45,11/17/2020,11/23/2020,1
20201110,High Plains,4.48,95.52,72.5,46.83,22.47,5.11,11/10/2020,11/16/2020,1
20201110,Midwest,62.6,37.4,11.07,2.39,0.48,0,11/10/2020,11/16/2020,1
20201110,Northeast,38.58,61.42,37.47,6.22,0.59,0,11/10/2020,11/16/2020,1
20201110,South,50.98,49.02,30.13,16.18,9.96,4.35,11/10/2020,11/16/2020,1
20201110,Southeast,96.28,3.72,0,0,0,0,11/10/2020,11/16/2020,1
20201110,West,40.07,59.93,46.5,35.49,25.13,4.66,11/10/2020,11/16/2020,1
20201103,High Plains,4.49,95.51,72.31,46.97,22.53,5.05,11/3/2020,11/9/2020,1
20201103,Midwest,66.15,33.85,10.28,3.6,0.48,0,11/3/2020,11/9/2020,1
20201103,Northeast,38.85,61.15,37.12,6.22,0.59,0,11/3/2020,11/9/2020,1
20201103,South,61.9,38.1,24.41,13.32,7.03,1.98,11/3/2020,11/9/2020,1
20201103,Southeast,96.37,3.63,0,0,0,0,11/3/2020,11/9/2020,1
20201103,West,39.21,60.79,47.21,33.73,24.09,3.15,11/3/2020,11/9/2020,1
20201027,High Plains,1.74,98.26,71.27,47.34,22.9,4.46,10/27/2020,11/2/2020,1
20201027,Midwest,64.06,35.94,11.86,4.04,0.48,0,10/27/2020,11/2/2020,1
20201027,Northeast,28.93,71.07,47.16,10.91,1.99,0,10/27/2020,11/2/2020,1
20201027,South,60.2,39.8,26.07,16.36,7.76,2.38,10/27/2020,11/2/2020,1
